age,taille,poids,sport_licence,niveau_etude,region,smoker,nationalité_francaise,nb_enfants,quotient_caf,revenu_estime_mois,situation_familiale,historique_credits,risque_personnel,date_creation_compte,score_credit,loyer_mensuel,montant_pret
35,162.8,78.2,non,8,Normandie,non,oui,0,222.9,2186,3.0,2.5068201193520885,0.81,2021-12-30,574.7797217537943,5000.0,13336.458815540716
18,170.2,93.8,oui,7,Hauts-de-France,non,oui,1,267.1,4413,2.0,2.5068201193520885,0.88,2020-04-24,574.7797217537943,5306.473283539622,23586.21984120104
66,183.6,78.6,non,8,Auvergne-Rhône-Alpes,non,oui,0,166.9,4075,3.0,2.5068201193520885,0.23,2022-08-18,574.7797217537943,5000.0,29327.468801877967
64,181.9,73.9,oui,4,Hauts-de-France,oui,oui,4,69.4,2527,3.0,2.5068201193520885,0.64,2022-11-21,574.7797217537943,5000.0,6766.208142869146
18,176.4,61.0,non,8,Hauts-de-France,oui,non,3,203.0,3125,3.0,2.5068201193520885,0.95,2020-07-07,454.0,5306.473283539622,500.0
39,165.8,68.7,oui,0,Hauts-de-France,oui,oui,2,337.8,4301,3.0,1.0,0.82,2021-02-17,570.0,5000.0,6527.309924135625
38,179.0,90.4,non,4,Auvergne-Rhône-Alpes,non,non,0,251.6,3880,3.0,3.0,0.61,2020-08-07,574.7797217537943,5306.473283539622,500.0
40,167.7,75.0,oui,0,Normandie,oui,oui,1,220.2,3696,6.0,2.5068201193520885,0.5,2021-03-25,574.7797217537943,5306.473283539622,500.0
21,172.4,79.9,non,0,Auvergne-Rhône-Alpes,oui,oui,0,195.7,5297,3.0,2.0,0.91,2022-07-25,574.7797217537943,5306.473283539622,500.0
48,174.3,73.1,non,5,Île-de-France,oui,oui,1,270.1,2944,3.0,2.0,0.3,2020-08-14,542.0,5000.0,4878.983510459015
20,172.1,90.3,oui,0,Occitanie,oui,non,0,201.5,1733,2.0,2.5068201193520885,0.73,2022-04-02,574.7797217537943,5000.0,500.0
71,173.3,59.0,non,4,Hauts-de-France,oui,oui,2,252.7,500,0.0,2.5068201193520885,0.42,2021-04-10,329.0,5306.473283539622,500.0
24,168.4,81.5,oui,7,Auvergne-Rhône-Alpes,oui,oui,0,116.2,500,3.0,3.0,0.68,2021-11-27,578.0,5306.473283539622,9005.3984759165
29,188.3,58.7,non,8,Île-de-France,non,oui,1,369.8,500,3.0,2.5068201193520885,0.82,2022-09-28,464.0,5306.473283539622,17519.79086127057
59,169.7,81.3,non,4,Île-de-France,oui,non,2,432.7,4242,0.0,3.0,0.78,2023-06-12,849.0,5000.0,525.9216548946995
18,171.1,68.0,oui,0,Occitanie,non,oui,-1,250.9,2803,3.0,2.0,0.25,2023-10-31,574.7797217537943,5306.473283539622,5283.578467374318
40,160.9,69.1,oui,8,Occitanie,oui,non,3,218.0,2497,2.0,2.5068201193520885,0.19,2023-09-01,574.7797217537943,5306.473283539622,500.0
47,184.4,76.9,oui,8,Auvergne-Rhône-Alpes,non,oui,0,202.3,2983,3.0,2.5068201193520885,0.69,2023-06-14,574.7797217537943,5000.0,23595.20348242246
70,172.3,87.9,non,8,Bretagne,non,oui,1,421.4,2076,3.0,2.5068201193520885,0.7,2021-10-01,574.7797217537943,5306.473283539622,22782.65101085786
68,156.5,64.2,oui,8,Provence-Alpes-Côte d’Azur,non,oui,2,38.9,686,0.0,1.0,0.11,2020-12-01,375.0,5000.0,12270.06665872613
56,161.9,76.6,non,0,Bretagne,oui,oui,2,186.0,3780,0.0,3.0,0.5,2025-02-24,502.0,5000.0,1147.9499177521698
66,171.9,52.5,oui,4,Auvergne-Rhône-Alpes,non,oui,1,211.9,4590,0.0,5.0,0.84,2025-05-07,574.7797217537943,5306.473283539622,25361.899125577955
58,160.7,54.7,non,5,Auvergne-Rhône-Alpes,oui,oui,4,133.4,2960,2.0,2.5068201193520885,0.67,2024-05-03,574.7797217537943,5306.473283539622,12717.193538141437
44,181.0,79.2,oui,4,Hauts-de-France,non,oui,4,48.3,3697,2.0,2.5068201193520885,0.45,2021-06-23,680.0,5000.0,35222.91761983653
47,163.9,61.2,non,5,Hauts-de-France,oui,oui,0,183.8,2914,0.0,2.5068201193520885,0.46,2023-06-01,809.0,5306.473283539622,500.0
65,172.9,69.0,oui,4,Île-de-France,non,non,1,268.8,681,3.0,2.5068201193520885,0.25,2024-11-09,394.0,5000.0,500.0
74,170.3,89.0,oui,8,Occitanie,non,non,0,351.3,3300,6.0,2.5068201193520885,0.89,2020-08-31,574.7797217537943,5306.473283539622,753.6030929569296
52,154.6,78.0,non,5,Occitanie,oui,oui,3,357.1,2175,3.0,2.0,0.95,2020-08-05,649.0,5000.0,14002.865498517638
49,156.4,94.7,oui,7,Bretagne,non,oui,0,368.0,3484,3.0,2.5068201193520885,0.65,2021-04-03,819.0,5000.0,17450.841622992128
22,170.9,94.5,non,8,Auvergne-Rhône-Alpes,oui,oui,3,377.3,2106,0.0,5.0,0.04,2024-01-17,574.7797217537943,5000.0,24090.770841341116
41,173.3,95.9,oui,5,Bretagne,non,non,0,224.9,1302,2.0,2.5068201193520885,0.06,2022-06-25,574.7797217537943,5306.473283539622,500.0
35,152.7,56.6,non,8,Corse,oui,non,0,259.4,1337,3.0,2.5068201193520885,0.32,2022-06-22,574.7797217537943,5306.473283539622,500.0
26,178.6,96.4,oui,0,Île-de-France,non,oui,2,215.4,2685,0.0,2.5068201193520885,0.18,2020-03-24,574.7797217537943,5306.473283539622,19568.24158699261
54,170.7,77.7,non,5,Île-de-France,oui,non,2,200.2,2332,2.0,0.0,0.38,2021-04-27,574.7797217537943,5000.0,500.0
43,178.5,48.7,oui,8,Provence-Alpes-Côte d’Azur,non,non,2,232.5,1946,3.0,2.5068201193520885,0.27,2024-10-25,805.0,5000.0,9420.317078132412
59,174.4,69.8,non,4,Bretagne,non,non,0,225.3,1436,2.0,2.5068201193520885,0.69,2025-01-16,554.0,5306.473283539622,500.0
57,165.2,71.6,oui,0,Occitanie,oui,non,1,251.4,3765,2.0,3.0,0.29,2020-01-02,574.7797217537943,5306.473283539622,500.0
61,155.8,70.1,oui,0,Provence-Alpes-Côte d’Azur,oui,oui,0,256.0,3974,2.0,2.5068201193520885,0.84,2023-01-30,574.7797217537943,5000.0,500.0
71,161.6,67.2,non,8,Île-de-France,oui,oui,0,206.4,2077,3.0,5.0,0.43,2021-01-15,496.0,5306.473283539622,6069.528722438526
72,159.5,59.3,non,0,Bretagne,non,oui,3,49.1,1408,6.0,2.5068201193520885,0.73,2025-01-13,574.7797217537943,5306.473283539622,500.0
74,158.5,66.9,oui,7,Provence-Alpes-Côte d’Azur,oui,non,3,282.3,2456,3.0,2.0,0.09,2025-03-10,574.7797217537943,5306.473283539622,9295.06139134704
50,178.9,59.3,non,4,Île-de-France,oui,oui,1,250.4,4343,2.0,2.5068201193520885,0.33,2024-11-07,584.0,5306.473283539622,500.0
47,180.9,82.0,oui,8,Provence-Alpes-Côte d’Azur,non,oui,3,354.7,3830,0.0,2.5068201193520885,0.63,2021-01-06,574.7797217537943,5306.473283539622,43459.373722936565
45,179.9,51.2,oui,5,Auvergne-Rhône-Alpes,non,non,4,331.7,2778,3.0,2.5068201193520885,0.75,2021-11-21,574.7797217537943,5306.473283539622,500.0
45,165.5,96.5,non,8,Île-de-France,oui,oui,3,292.3,500,3.0,2.5068201193520885,0.16,2021-06-14,574.7797217537943,5000.0,19071.53279373577
52,185.0,49.1,oui,8,Hauts-de-France,non,oui,1,345.4,2380,0.0,4.0,0.96,2022-02-27,574.7797217537943,5306.473283539622,25969.31390156188
55,163.0,63.6,oui,4,Hauts-de-France,non,oui,0,279.9,3773,3.0,2.0,0.56,2024-04-03,574.7797217537943,5306.473283539622,500.0
45,170.3,66.8,non,4,Normandie,oui,non,0,178.0,3700,3.0,2.5068201193520885,0.27,2022-09-10,613.0,5306.473283539622,500.0
56,163.9,62.5,oui,0,Hauts-de-France,non,non,1,299.6,2556,3.0,0.0,0.21,2024-10-11,322.0,5306.473283539622,500.0
33,172.6,72.0,non,7,Bretagne,non,oui,1,122.7,3673,0.0,3.0,0.59,2022-04-14,604.0,5306.473283539622,15447.487891752608
65,173.2,61.9,non,4,Bretagne,oui,oui,2,463.0,1899,2.0,2.5068201193520885,0.81,2021-08-21,330.0,5000.0,500.0
57,165.5,69.9,non,4,Hauts-de-France,non,oui,3,202.4,5511,6.0,2.5068201193520885,0.95,2025-02-11,574.7797217537943,5306.473283539622,18913.573182111923
71,163.0,95.4,non,0,Occitanie,non,oui,0,460.5,2437,0.0,3.0,0.06,2024-01-23,746.0,5000.0,500.0
38,152.1,57.9,oui,0,Auvergne-Rhône-Alpes,non,non,1,321.1,1198,2.0,0.0,0.26,2021-12-05,485.0,5000.0,500.0
47,192.3,85.6,oui,0,Hauts-de-France,oui,oui,1,486.8,2760,3.0,2.5068201193520885,0.16,2020-06-20,361.0,5000.0,500.0
25,174.8,44.9,oui,7,Occitanie,oui,non,1,383.9,2751,0.0,3.0,0.75,2025-04-16,574.7797217537943,5000.0,500.0
20,164.8,74.7,non,4,Hauts-de-France,non,oui,1,174.2,3878,3.0,2.5068201193520885,0.75,2020-05-22,674.0,5000.0,11025.064543114582
56,174.5,66.0,non,5,Corse,non,oui,2,360.8,2724,3.0,2.5068201193520885,0.38,2020-05-15,574.7797217537943,5306.473283539622,2139.5957572864386
19,184.5,70.3,oui,0,Bretagne,non,non,2,316.7,3137,0.0,2.5068201193520885,0.28,2020-09-18,574.7797217537943,5000.0,500.0
48,164.1,69.5,non,0,Île-de-France,oui,non,3,134.6,2737,3.0,2.5068201193520885,0.76,2020-01-20,574.7797217537943,5000.0,500.0
35,175.5,64.3,non,8,Provence-Alpes-Côte d’Azur,oui,non,0,183.2,2233,3.0,2.5068201193520885,0.82,2024-03-04,574.7797217537943,5306.473283539622,500.0
57,159.6,70.2,oui,8,Hauts-de-France,oui,non,2,298.0,5478,2.0,2.5068201193520885,0.94,2023-12-01,685.0,5306.473283539622,3984.794741675325
38,165.3,67.9,oui,0,Auvergne-Rhône-Alpes,non,non,2,244.3,1177,3.0,5.0,0.34,2024-11-15,373.0,5306.473283539622,500.0
63,167.1,84.3,oui,8,Hauts-de-France,oui,non,2,330.4,3827,2.0,1.0,0.78,2020-12-18,574.7797217537943,5000.0,500.0
22,163.9,72.5,oui,7,Île-de-France,non,oui,1,317.0,2915,0.0,0.0,0.96,2020-08-23,574.7797217537943,5306.473283539622,34110.298298145535
46,168.4,78.3,non,5,Hauts-de-France,oui,non,3,177.8,2841,2.0,2.5068201193520885,0.06,2020-02-04,670.0,5306.473283539622,500.0
21,163.7,60.5,oui,7,Auvergne-Rhône-Alpes,non,non,0,340.1,500,6.0,2.5068201193520885,0.14,2020-11-22,574.7797217537943,5000.0,500.0
20,162.6,84.9,oui,4,Île-de-France,non,oui,0,120.0,2129,0.0,2.0,0.61,2025-01-12,574.7797217537943,5000.0,649.5630251954094
57,183.4,52.9,oui,0,Île-de-France,non,non,0,371.1,2195,6.0,0.0,0.11,2024-11-19,574.7797217537943,5306.473283539622,500.0
66,164.0,79.9,non,4,Corse,non,non,4,136.3,3982,2.0,2.5068201193520885,0.67,2022-12-16,574.7797217537943,5000.0,500.0
65,172.0,100.3,non,7,Auvergne-Rhône-Alpes,oui,oui,0,175.0,4777,3.0,3.0,0.9,2020-02-09,601.0,5306.473283539622,2241.440919642173
70,182.3,48.1,oui,4,Auvergne-Rhône-Alpes,non,non,2,364.8,1979,6.0,2.5068201193520885,0.24,2021-09-15,401.0,5306.473283539622,500.0
73,169.4,75.9,non,7,Bretagne,oui,oui,2,386.5,2952,3.0,2.5068201193520885,0.74,2021-04-07,574.7797217537943,5306.473283539622,6558.49125213323
54,170.6,48.7,oui,5,Provence-Alpes-Côte d’Azur,non,oui,3,376.4,2353,3.0,2.5068201193520885,0.17,2022-07-17,432.0,5306.473283539622,27531.70478763513
30,161.9,93.9,non,5,Auvergne-Rhône-Alpes,oui,non,0,89.9,1829,6.0,2.0,0.16,2022-06-15,574.7797217537943,5000.0,500.0
30,176.2,67.8,oui,8,Occitanie,oui,non,1,391.8,3887,2.0,2.0,0.17,2024-03-17,348.0,5306.473283539622,2229.452478450251
71,154.3,69.3,oui,0,Île-de-France,oui,oui,0,272.8,3537,6.0,2.5068201193520885,0.22,2024-09-21,574.7797217537943,5000.0,500.0
43,173.3,60.1,oui,8,Provence-Alpes-Côte d’Azur,oui,oui,3,298.6,2206,6.0,0.0,0.41,2022-05-17,722.0,5000.0,32273.14558335014
40,170.3,53.0,non,4,Normandie,oui,oui,2,266.6,2671,3.0,2.5068201193520885,0.55,2020-10-09,563.0,5000.0,500.0
22,188.3,47.3,oui,0,Île-de-France,non,non,2,329.3,2714,3.0,5.0,0.28,2022-08-09,574.7797217537943,5306.473283539622,500.0
65,167.8,93.6,non,7,Auvergne-Rhône-Alpes,non,oui,-4,297.6,2687,0.0,3.0,0.36,2023-02-17,574.7797217537943,5306.473283539622,500.0
54,171.1,64.3,non,5,Corse,non,non,6,382.9,1755,6.0,2.5068201193520885,0.03,2024-03-25,558.0,5000.0,500.0
70,154.2,75.4,non,0,Hauts-de-France,oui,non,0,311.3,1879,6.0,2.0,0.97,2020-09-10,574.7797217537943,5306.473283539622,500.0
67,173.1,71.7,oui,7,Hauts-de-France,non,oui,2,224.6,1743,3.0,2.5068201193520885,0.3,2021-08-10,483.0,5306.473283539622,26007.54931342834
44,167.3,96.4,oui,4,Provence-Alpes-Côte d’Azur,non,oui,3,351.0,3015,2.0,2.5068201193520885,0.03,2022-12-22,574.7797217537943,5306.473283539622,15370.731471867794
30,164.7,110.3,non,4,Île-de-France,non,non,1,284.5,1886,3.0,2.5068201193520885,0.8,2025-04-01,612.0,5306.473283539622,500.0
43,157.2,72.4,non,8,Corse,non,non,0,215.6,1346,6.0,2.5068201193520885,0.86,2021-04-02,595.0,5306.473283539622,500.0
65,167.9,48.4,oui,7,Hauts-de-France,non,oui,0,127.4,3600,3.0,3.0,0.6,2021-09-10,381.0,5000.0,16922.25195186645
63,177.6,73.7,oui,0,Occitanie,non,non,2,109.0,3144,2.0,2.5068201193520885,0.59,2025-05-11,411.0,5306.473283539622,500.0
66,165.7,90.9,oui,7,Provence-Alpes-Côte d’Azur,non,oui,1,90.5,786,2.0,1.0,0.3,2020-12-28,574.7797217537943,5306.473283539622,4838.792686019202
38,176.0,56.8,oui,4,Hauts-de-France,oui,oui,0,253.4,4285,6.0,2.5068201193520885,0.12,2024-08-10,335.0,5306.473283539622,500.0
28,168.5,79.9,non,4,Bretagne,non,non,-1,410.1,3675,3.0,2.5068201193520885,0.46,2022-10-13,574.7797217537943,5306.473283539622,500.0
42,177.9,50.9,oui,4,Occitanie,non,non,0,73.9,2327,3.0,3.0,0.13,2021-09-03,574.7797217537943,5000.0,500.0
62,165.4,74.9,oui,7,Corse,non,non,2,223.1,3830,3.0,5.0,0.01,2020-08-27,308.0,5306.473283539622,500.0
63,183.4,73.1,non,0,Occitanie,oui,oui,2,267.8,500,3.0,2.5068201193520885,0.04,2020-07-27,574.7797217537943,5306.473283539622,500.0
29,167.8,88.3,oui,4,Corse,non,oui,1,75.2,2962,2.0,2.5068201193520885,0.4,2022-06-06,574.7797217537943,5000.0,500.0
36,172.4,74.0,oui,0,Provence-Alpes-Côte d’Azur,non,oui,2,213.9,1523,3.0,2.5068201193520885,0.02,2022-03-08,574.7797217537943,5000.0,7568.264375717334
27,176.9,55.5,non,8,Occitanie,oui,non,3,344.3,3554,2.0,2.5068201193520885,0.4,2020-03-20,574.7797217537943,5000.0,500.0
54,163.8,71.0,non,4,Hauts-de-France,oui,oui,2,222.3,2766,3.0,2.5068201193520885,0.99,2021-01-19,590.0,5306.473283539622,500.0
42,172.2,85.0,oui,0,Hauts-de-France,non,non,2,53.9,2837,3.0,2.5068201193520885,0.93,2020-02-25,574.7797217537943,5000.0,500.0
70,176.4,91.4,oui,4,Occitanie,oui,non,2,208.1,2164,3.0,2.5068201193520885,0.93,2023-02-28,663.0,5306.473283539622,500.0
41,173.6,55.5,oui,8,Normandie,oui,non,1,99.3,1271,6.0,2.5068201193520885,0.43,2021-05-16,523.0,5000.0,500.0
47,162.5,71.9,non,7,Hauts-de-France,oui,non,1,15.7,2230,0.0,2.5068201193520885,0.55,2020-01-09,574.7797217537943,5306.473283539622,500.0
35,172.4,73.4,non,5,Île-de-France,oui,oui,-1,229.3,867,6.0,2.5068201193520885,0.71,2020-05-12,574.7797217537943,5306.473283539622,500.0
24,167.0,66.8,non,0,Île-de-France,oui,oui,1,137.7,1227,0.0,2.5068201193520885,0.04,2020-05-30,817.0,5306.473283539622,500.0
28,172.6,71.0,oui,8,Corse,non,non,-1,95.8,1065,2.0,2.5068201193520885,0.33,2023-03-31,574.7797217537943,5306.473283539622,500.0
55,172.4,70.6,non,4,Normandie,non,oui,1,464.2,2321,3.0,0.0,0.09,2025-06-08,574.7797217537943,5000.0,500.0
66,171.7,56.9,non,7,Occitanie,oui,non,0,197.5,1549,6.0,2.0,0.63,2022-07-09,574.7797217537943,5000.0,500.0
29,166.3,65.8,oui,4,Hauts-de-France,non,oui,4,92.3,2841,6.0,4.0,0.59,2023-07-21,574.7797217537943,5306.473283539622,20359.14263743785
66,170.2,62.5,oui,0,Provence-Alpes-Côte d’Azur,oui,oui,1,109.8,1607,3.0,2.5068201193520885,0.62,2023-09-19,574.7797217537943,5000.0,500.0
41,172.7,102.2,non,5,Bretagne,oui,oui,1,340.9,4029,3.0,4.0,0.09,2025-01-19,574.7797217537943,5000.0,11396.277028540822
29,152.3,64.8,non,0,Bretagne,oui,non,1,280.5,2784,2.0,2.5068201193520885,0.24,2023-10-09,739.0,5000.0,500.0
28,155.1,53.9,non,5,Auvergne-Rhône-Alpes,oui,oui,1,238.5,695,3.0,5.0,0.51,2024-01-19,574.7797217537943,5000.0,500.0
27,170.4,62.5,non,0,Occitanie,oui,non,0,455.0,1389,0.0,2.5068201193520885,0.14,2023-02-06,574.7797217537943,5000.0,500.0
28,174.9,73.7,oui,7,Provence-Alpes-Côte d’Azur,non,oui,-2,154.1,2284,6.0,2.5068201193520885,0.16,2020-06-20,322.0,5306.473283539622,6144.190390089874
68,162.8,82.0,non,7,Île-de-France,oui,oui,3,386.9,4288,2.0,4.0,0.98,2022-09-05,679.0,5000.0,18906.9193030344
56,198.6,63.9,oui,4,Normandie,non,non,4,85.1,2589,3.0,2.5068201193520885,0.79,2021-07-09,574.7797217537943,5306.473283539622,500.0
49,160.0,57.8,non,4,Auvergne-Rhône-Alpes,non,oui,1,322.1,2460,3.0,0.0,0.84,2021-01-13,515.0,5306.473283539622,500.0
31,165.9,70.5,oui,0,Bretagne,non,non,4,255.8,3192,0.0,2.5068201193520885,0.66,2023-06-12,516.0,5000.0,8520.84783692959
64,165.6,65.1,oui,5,Bretagne,oui,non,0,248.6,1765,0.0,2.5068201193520885,0.39,2020-02-13,342.0,5000.0,500.0
30,192.3,76.3,non,7,Occitanie,oui,oui,2,366.2,2957,3.0,5.0,0.39,2024-05-06,574.7797217537943,5000.0,6118.426138861176
25,148.0,57.9,non,4,Occitanie,non,oui,3,366.9,2198,3.0,2.0,0.32,2022-02-27,441.0,5000.0,13025.400471408417
45,171.3,76.4,non,5,Provence-Alpes-Côte d’Azur,oui,oui,1,277.6,2062,3.0,2.5068201193520885,0.7,2020-04-16,743.0,5000.0,4955.959871842641
29,180.8,67.3,oui,4,Bretagne,oui,non,0,153.3,2466,0.0,2.5068201193520885,0.24,2021-04-16,574.7797217537943,5000.0,500.0
54,155.7,60.4,oui,7,Auvergne-Rhône-Alpes,oui,oui,2,272.9,3557,2.0,2.0,0.6,2023-03-08,843.0,5306.473283539622,22311.581737233337
67,179.9,87.9,oui,8,Auvergne-Rhône-Alpes,oui,oui,0,220.1,2161,3.0,2.5068201193520885,0.75,2021-02-12,635.0,5306.473283539622,9326.554250395482
33,182.4,49.0,oui,8,Hauts-de-France,non,non,0,206.5,2844,3.0,0.0,0.34,2020-10-06,574.7797217537943,5000.0,500.0
69,164.1,76.0,non,4,Provence-Alpes-Côte d’Azur,oui,oui,2,210.0,2499,2.0,2.5068201193520885,0.39,2022-01-29,574.7797217537943,5000.0,500.0
35,178.8,73.7,oui,5,Provence-Alpes-Côte d’Azur,non,non,2,78.3,3879,0.0,0.0,0.5,2023-04-19,574.7797217537943,5000.0,500.0
34,169.0,59.4,oui,8,Île-de-France,non,non,3,158.8,1446,6.0,2.5068201193520885,0.11,2022-12-26,465.0,5306.473283539622,6960.69936859739
28,169.8,48.6,oui,5,Auvergne-Rhône-Alpes,non,oui,3,263.9,1689,3.0,0.0,0.65,2021-05-30,574.7797217537943,5306.473283539622,29780.01970191709
72,164.2,72.2,non,0,Normandie,non,non,2,250.0,1091,2.0,2.5068201193520885,0.74,2022-04-09,608.0,5000.0,500.0
67,157.7,74.1,non,7,Bretagne,oui,non,0,84.9,2858,3.0,2.5068201193520885,0.79,2024-02-24,574.7797217537943,5306.473283539622,500.0
31,172.1,79.4,oui,5,Hauts-de-France,non,non,3,277.8,4194,3.0,2.5068201193520885,0.77,2021-11-03,574.7797217537943,5306.473283539622,11334.949659759515
50,166.9,55.2,non,5,Corse,oui,non,0,119.4,3007,2.0,2.5068201193520885,0.61,2025-03-20,427.0,5306.473283539622,500.0
27,161.8,58.5,non,4,Provence-Alpes-Côte d’Azur,non,oui,0,276.4,500,3.0,2.5068201193520885,0.52,2020-10-10,497.0,5000.0,500.0
27,158.8,70.2,non,4,Auvergne-Rhône-Alpes,oui,oui,-2,400.2,1727,3.0,2.0,0.21,2023-08-14,595.0,5000.0,500.0
72,174.4,91.7,oui,5,Corse,non,non,0,199.5,3017,3.0,2.5068201193520885,0.71,2023-07-06,574.7797217537943,5000.0,500.0
28,162.0,75.5,oui,8,Bretagne,oui,non,5,250.7,2777,6.0,2.5068201193520885,0.08,2024-07-03,574.7797217537943,5306.473283539622,500.0
54,167.4,110.2,oui,8,Normandie,oui,oui,0,167.7,1034,2.0,2.5068201193520885,0.99,2025-05-07,574.7797217537943,5306.473283539622,1887.0557013554196
31,176.2,86.2,non,4,Auvergne-Rhône-Alpes,non,oui,2,318.7,3677,0.0,1.0,0.35,2022-10-04,574.7797217537943,5306.473283539622,18508.072744337143
38,186.5,67.7,oui,7,Corse,oui,non,3,85.5,500,3.0,2.5068201193520885,0.9,2020-01-07,741.0,5000.0,500.0
54,160.9,67.3,non,0,Provence-Alpes-Côte d’Azur,non,oui,4,276.1,500,3.0,2.0,0.28,2021-12-20,574.7797217537943,5000.0,10529.209107225804
62,165.1,39.6,oui,0,Corse,non,non,0,310.2,1386,3.0,1.0,0.47,2021-04-29,574.7797217537943,5306.473283539622,500.0
68,168.0,56.4,non,7,Hauts-de-France,non,oui,2,76.6,732,0.0,2.5068201193520885,0.56,2023-09-17,728.0,5306.473283539622,7415.928233616646
63,166.7,50.7,oui,4,Hauts-de-France,non,oui,2,323.3,2849,3.0,2.5068201193520885,0.06,2024-08-18,574.7797217537943,5306.473283539622,16896.71714239694
22,169.0,63.7,oui,5,Provence-Alpes-Côte d’Azur,oui,oui,1,243.0,2789,6.0,2.5068201193520885,0.33,2022-01-10,342.0,5306.473283539622,500.0
35,181.4,97.2,oui,8,Île-de-France,oui,oui,1,282.4,2139,2.0,2.5068201193520885,0.95,2021-04-02,574.7797217537943,5306.473283539622,13514.499252188314
56,175.6,46.4,oui,7,Île-de-France,non,non,0,192.1,1215,6.0,4.0,0.74,2021-06-15,626.0,5000.0,500.0
34,190.8,58.8,non,5,Corse,oui,non,3,168.7,2901,3.0,2.5068201193520885,0.33,2025-02-15,574.7797217537943,5306.473283539622,500.0
65,176.5,60.5,non,4,Corse,oui,oui,0,372.0,3877,3.0,2.5068201193520885,0.29,2025-05-27,574.7797217537943,5306.473283539622,500.0
49,156.3,79.2,non,7,Corse,oui,non,0,118.0,3393,0.0,2.5068201193520885,0.3,2024-05-05,379.0,5306.473283539622,500.0
61,151.3,69.7,non,0,Provence-Alpes-Côte d’Azur,non,oui,3,104.3,2669,2.0,2.5068201193520885,0.64,2021-09-20,688.0,5306.473283539622,19227.75847089817
75,183.7,96.1,oui,7,Provence-Alpes-Côte d’Azur,oui,oui,1,111.7,3998,3.0,2.0,0.45,2023-08-11,569.0,5000.0,18094.12546371585
